item_name,code,quantity,brand,category,type,images,image_local,image_url,notes,aliases,search_keywords,default_count_unit
BROCCOLI,4060,,,BROCCOLIS,produce_plu,[],,,,,BROCCOLI 4060   BROCCOLIS PRODUCE_PLU  ,
BROCCOLI CROWNS,4548,,,BROCCOLIS,produce_plu,[],,,,,BROCCOLI CROWNS 4548   BROCCOLIS PRODUCE_PLU  ,
BROCCOLINI,3277,,,BROCCOLIS,produce_plu,[],,,,,BROCCOLINI 3277   BROCCOLIS PRODUCE_PLU  ,
BROWN CRIMINI MUSHROOM,94648,,,MUSHROOMS,produce_plu,[],,,,,BROWN CRIMINI MUSHROOM 94648   MUSHROOMS PRODUCE_PLU  ,
BRUSSEL SPROUTS,4550,,,BRUSSEL,produce_plu,[],,,,,BRUSSEL SPROUTS 4550   BRUSSEL PRODUCE_PLU  ,
BURRO BANANA,4229,,,BANANAS,produce_plu,[],,,,,BURRO BANANA 4229   BANANAS PRODUCE_PLU  ,
BUTTER NUT SQUASH,4759,,,SQUASHS,produce_plu,[],,,,,BUTTER NUT SQUASH 4759   SQUASHS PRODUCE_PLU  ,
CABBAGE GREEN,4069,,,CABBAGES,produce_plu,[],,,,,CABBAGE GREEN 4069   CABBAGES PRODUCE_PLU  ,
CABBAGE RED,4554,,,CABBAGES,produce_plu,[],,,,,CABBAGE RED 4554   CABBAGES PRODUCE_PLU  ,
CABBAGE SAVOY,4555,,,CABBAGES,produce_plu,[],,,,,CABBAGE SAVOY 4555   CABBAGES PRODUCE_PLU  ,
CABBAGE SOUR,131,,,CABBAGES,produce_plu,[],,,,,CABBAGE SOUR 131   CABBAGES PRODUCE_PLU  ,
CABBAGE TAIWAN,251,,,CABBAGES,produce_plu,[],,,,,CABBAGE TAIWAN 251   CABBAGES PRODUCE_PLU  ,
CACTUS LEAVES,4558,,,CACTUS,produce_plu,[],,,,,CACTUS LEAVES 4558   CACTUS PRODUCE_PLU  ,
CAMEO APPLE,3066,,,APPLES,produce_plu,[],,,,,CAMEO APPLE 3066   APPLES PRODUCE_PLU  ,
CANTALOUPE CUT,4343,,,CANTALOUPE,produce_plu,[],,,,,CANTALOUPE CUT 4343   CANTALOUPE PRODUCE_PLU  ,
CANTALOUPE LG MELON,4050,,,MELONS,produce_plu,[],,,,,CANTALOUPE LG MELON 4050   MELONS PRODUCE_PLU  ,
CANTALOUPE WHOLE SM,4049,,,CANTALOUPE,produce_plu,[],,,,,CANTALOUPE WHOLE SM 4049   CANTALOUPE PRODUCE_PLU  ,
CARROTS BULK,4562,,,CARROTS,produce_plu,[],,,,,CARROTS BULK 4562   CARROTS PRODUCE_PLU  ,
CARROTS BUNCH,4094,,,CARROTS,produce_plu,[],,,,,CARROTS BUNCH 4094   CARROTS PRODUCE_PLU  ,
CASABA MELON,4320,,,MELONS,produce_plu,[],,,,,CASABA MELON 4320   MELONS PRODUCE_PLU  ,
CAULIFLOWER CELLO,4079,,,CAULIFLOWERS,produce_plu,[],,,,,CAULIFLOWER CELLO 4079   CAULIFLOWERS PRODUCE_PLU  ,
CAULIFLOWER FLORETS,4566,,,CAULIFLOWERS,produce_plu,[],,,,,CAULIFLOWER FLORETS 4566   CAULIFLOWERS PRODUCE_PLU  ,
CELERY,4070,,,CELERYS,produce_plu,[],,,,,CELERY 4070   CELERYS PRODUCE_PLU  ,
CELERY CHINESE,1788,,,CELERYS,produce_plu,[],,,,,CELERY CHINESE 1788   CELERYS PRODUCE_PLU  ,
CELERY ROOT,4585,,,CELERYS,produce_plu,[],,,,,CELERY ROOT 4585   CELERYS PRODUCE_PLU  ,
CELERY STIX BULK,4576,,,CELERYS,produce_plu,[],,,,,CELERY STIX BULK 4576   CELERYS PRODUCE_PLU  ,
CELLO LETTUCE,4061,,,LETTUCES,produce_plu,[],,,,,CELLO LETTUCE 4061   LETTUCES PRODUCE_PLU  ,
CHAYOTE SQUASH,4761,,,SQUASHS,produce_plu,[],,,,,CHAYOTE SQUASH 4761   SQUASHS PRODUCE_PLU  ,
CHERIMOYA (SUGAR APPLE),4257,,,APPLES,produce_plu,[],,,,,CHERIMOYA (SUGAR APPLE) 4257   APPLES PRODUCE_PLU  ,
CHERRIES,4045,,,CHERRIES,produce_plu,[],,,,,CHERRIES 4045   CHERRIES PRODUCE_PLU  ,
CHERRY RED US TOMATO,4796,,,CHERRYS,produce_plu,[],,,,,CHERRY RED US TOMATO 4796   CHERRYS PRODUCE_PLU  ,
CHESTNUTS,4927,,,CHESTNUTS,produce_plu,[],,,,,CHESTNUTS 4927   CHESTNUTS PRODUCE_PLU  ,
CHILI PEPPER,4717,,,PEPPERS,produce_plu,[],,,,,CHILI PEPPER 4717   PEPPERS PRODUCE_PLU  ,
CHIVES FLOWERING,4888,,,CHIVES,produce_plu,[],,,,,CHIVES FLOWERING 4888   CHIVES PRODUCE_PLU  ,
CHIVES GREEN,4827,,,CHIVES,produce_plu,[],,,,,CHIVES GREEN 4827   CHIVES PRODUCE_PLU  ,
CHIVES YELLOW,4829,,,CHIVES,produce_plu,[],,,,,CHIVES YELLOW 4829   CHIVES PRODUCE_PLU  ,
CHOY YU,3164,,,CHOY,produce_plu,[],,,,,CHOY YU 3164   CHOY PRODUCE_PLU  ,
CILANTRO BUNCH,4889,,,CILANTRO,produce_plu,[],,,,,CILANTRO BUNCH 4889   CILANTRO PRODUCE_PLU  ,
COCONUT,4261,,,COCONUT,produce_plu,[],,,,,COCONUT 4261   COCONUT PRODUCE_PLU  ,
COMICE PEAR,4414,,,PEARS,produce_plu,[],,,,,COMICE PEAR 4414   PEARS PRODUCE_PLU  ,
CORN,4078,,,CORNS,produce_plu,[],,,,,CORN 4078   CORNS PRODUCE_PLU  ,
CRANBERRIES BULK,4242,,,CRANBERRIES,produce_plu,[],,,,,CRANBERRIES BULK 4242   CRANBERRIES PRODUCE_PLU  ,
CRENSHAW MELON,4322,,,MELONS,produce_plu,[],,,,,CRENSHAW MELON 4322   MELONS PRODUCE_PLU  ,
DAFFODILS,389,,,DAFFODILS,produce_plu,[],,,,,DAFFODILS 389   DAFFODILS PRODUCE_PLU  ,
DILL - BUNCHED FRESH,4892,1 each,,Fresh Herbs,produce,[],,,Loose/bunched fresh dill PLU,,DILL - BUNCHED FRESH 4892 1 EACH  FRESH HERBS PRODUCE LOOSE/BUNCHED FRESH DILL PLU ,
DILL PICKLING CUCUMBER,4596,,,CUCUMBERS,produce_plu,[],,,,,DILL PICKLING CUCUMBER 4596   CUCUMBERS PRODUCE_PLU  ,
DON QUA MELON,270,,,MELONS,produce_plu,[],,,,,DON QUA MELON 270   MELONS PRODUCE_PLU  ,
DONUT NECTARINE,3439,,,NECTARINES,produce_plu,[],,,,,DONUT NECTARINE 3439   NECTARINES PRODUCE_PLU  ,
DONUT PEACH,3113,,,PEACHS,produce_plu,[],,,,,DONUT PEACH 3113   PEACHS PRODUCE_PLU  ,
DRAGONFRUIT/PITAHAYA,4476,,,DRAGONFRUIT/PITAHAYA,produce_plu,[],,,,,DRAGONFRUIT/PITAHAYA 4476   DRAGONFRUIT/PITAHAYA PRODUCE_PLU  ,
EARTHBOUND FARM BABY SPINACH & SPRING MIX ORGANIC,00032601953010,142 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic baby spinach and spring mix,eb baby spinach spring; eb spinach,EARTHBOUND FARM BABY SPINACH & SPRING MIX ORGANIC 00032601953010 142 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC BABY SPINACH AND SPRING MIX EB BABY SPINACH SPRING; EB SPINACH,
EARTHBOUND FARM ORGANIC BABY ARUGULA,00032601952921,142 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic baby arugula; triple washed; ready to use,eb baby arugula; eb arugula,EARTHBOUND FARM ORGANIC BABY ARUGULA 00032601952921 142 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC BABY ARUGULA; TRIPLE WASHED; READY TO USE EB BABY ARUGULA; EB ARUGULA,
EARTHBOUND FARM ORGANIC BABY SPINACH SALAD,00032601952983,5 oz / 142 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic baby spinach salad,eb baby spinach; eb spinach,EARTHBOUND FARM ORGANIC BABY SPINACH SALAD 00032601952983 5 OZ / 142 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC BABY SPINACH SALAD EB BABY SPINACH; EB SPINACH,
EARTHBOUND FARM ORGANIC BABY SPINACH SALAD (284 g),00032601952969,284 g,Earthbound Farm,SALAD GREENS,packaged_upc_product_number,[],,,,eb baby spinach 284; eb spinach,EARTHBOUND FARM ORGANIC BABY SPINACH SALAD (284 G) 00032601952969 284 G EARTHBOUND FARM SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  EB BABY SPINACH 284; EB SPINACH,
EARTHBOUND FARM ORGANIC HERB SALAD (142 g),00032601953034,142 g,Earthbound Farm,SALAD GREENS,packaged_upc_product_number,[],,,,eb herb 142 g,EARTHBOUND FARM ORGANIC HERB SALAD (142 G) 00032601953034 142 G EARTHBOUND FARM SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  EB HERB 142 G,
EARTHBOUND FARM ORGANIC KALE MIX,00032601952945,142 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic kale mix / deep green blend,eb kale mix; eb kale,EARTHBOUND FARM ORGANIC KALE MIX 00032601952945 142 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC KALE MIX / DEEP GREEN BLEND EB KALE MIX; EB KALE,
EARTHBOUND FARM ORGANIC POWER GREENS MIX (142 g),00032601953041,142 g,Earthbound Farm,SALAD GREENS,packaged_upc_product_number,[],,,,eb power greens mix,EARTHBOUND FARM ORGANIC POWER GREENS MIX (142 G) 00032601953041 142 G EARTHBOUND FARM SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  EB POWER GREENS MIX,
EARTHBOUND FARM ORGANIC SPINACH & SPRING MIX,00032601953003,284 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic spinach and spring mix,eb spinach spring mix; eb spinach,EARTHBOUND FARM ORGANIC SPINACH & SPRING MIX 00032601953003 284 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC SPINACH AND SPRING MIX EB SPINACH SPRING MIX; EB SPINACH,
EARTHBOUND FARM ORGANIC SPRING MIX SALAD,00032601953645,142 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic spring mix salad,eb spring mix,EARTHBOUND FARM ORGANIC SPRING MIX SALAD 00032601953645 142 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC SPRING MIX SALAD EB SPRING MIX,
EARTHBOUND FARM ORGANIC SPRING MIX SALAD (142 g),00032601953096,142 g,Earthbound Farm,SALAD GREENS,packaged_upc_product_number,[],,,,eb spring mix 142,EARTHBOUND FARM ORGANIC SPRING MIX SALAD (142 G) 00032601953096 142 G EARTHBOUND FARM SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  EB SPRING MIX 142,
EARTHBOUND FARM ORGANIC SPRING MIX SALAD LARGE,00032601953089,,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic spring mix; alternate product number,eb spring mix large,EARTHBOUND FARM ORGANIC SPRING MIX SALAD LARGE 00032601953089  EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC SPRING MIX; ALTERNATE PRODUCT NUMBER EB SPRING MIX LARGE,
EARTHBOUND FARM ORGANIC WILD RED ARUGULA,00032601954604,,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Limited harvest wild red arugula,eb wild red arugula; eb arugula,EARTHBOUND FARM ORGANIC WILD RED ARUGULA 00032601954604  EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED LIMITED HARVEST WILD RED ARUGULA EB WILD RED ARUGULA; EB ARUGULA,
EARTHBOUND FARM SPRING MIX LETTUCE ORGANIC,00032601953072,284 g,Earthbound Farm,Packaged Greens / Salads,packaged,[],,,Organic spring mix lettuce,eb spring mix lettuce,EARTHBOUND FARM SPRING MIX LETTUCE ORGANIC 00032601953072 284 G EARTHBOUND FARM PACKAGED GREENS / SALADS PACKAGED ORGANIC SPRING MIX LETTUCE EB SPRING MIX LETTUCE,
EGGPLANT CHINESE,3089,,,EGGPLANTS,produce_plu,[],,,,,EGGPLANT CHINESE 3089   EGGPLANTS PRODUCE_PLU  ,
EGGPLANT LONG,3090,,,EGGPLANTS,produce_plu,[],,,,,EGGPLANT LONG 3090   EGGPLANTS PRODUCE_PLU  ,
EGGPLANT REGULAR,4081,,,EGGPLANTS,produce_plu,[],,,,,EGGPLANT REGULAR 4081   EGGPLANTS PRODUCE_PLU  ,
ENDIVE,4543,,,ENDIVE,produce_plu,[],,,,,ENDIVE 4543   ENDIVE PRODUCE_PLU  ,
ESPRESSO - DOUBLE,95138,,,ESPRESSO,produce_plu,[],,,,,ESPRESSO - DOUBLE 95138   ESPRESSO PRODUCE_PLU  ,
ESPRESSO - SINGLE,95141,,,ESPRESSO,produce_plu,[],,,,,ESPRESSO - SINGLE 95141   ESPRESSO PRODUCE_PLU  ,
FIELD CUCUMBER,4062,,,CUCUMBERS,produce_plu,[],,,,,FIELD CUCUMBER 4062   CUCUMBERS PRODUCE_PLU  ,
FOO QUA BITTER MELON,4783,,,MELONS,produce_plu,[],,,,,FOO QUA BITTER MELON 4783   MELONS PRODUCE_PLU  ,
FRAGRANT PEAR,3190,,,PEARS,produce_plu,[],,,,,FRAGRANT PEAR 3190   PEARS PRODUCE_PLU  ,
FRESH EXPRESS 3 COLOR DELI COLESLAW,00071279123028,,Fresh Express,SALAD GREENS,packaged_upc_product_number,[],,,,fe 3 color deli,FRESH EXPRESS 3 COLOR DELI COLESLAW 00071279123028  FRESH EXPRESS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  FE 3 COLOR DELI,
FRESH EXPRESS AVOCADO CAESAR CHOPPED SALAD KIT,00071279309262,,Fresh Express,SALAD KITS,packaged_upc_product_number,[],,,,fe avocado caesar chopped; fe caesar,FRESH EXPRESS AVOCADO CAESAR CHOPPED SALAD KIT 00071279309262  FRESH EXPRESS SALAD KITS PACKAGED_UPC_PRODUCT_NUMBER  FE AVOCADO CAESAR CHOPPED; FE CAESAR,
FRESH EXPRESS COLESLAW SALAD KIT,00071279126081,,Fresh Express,SALAD KITS,packaged_upc_product_number,[],,,,fe coleslaw,FRESH EXPRESS COLESLAW SALAD KIT 00071279126081  FRESH EXPRESS SALAD KITS PACKAGED_UPC_PRODUCT_NUMBER  FE COLESLAW,
FRESH EXPRESS GARDEN SALAD MIX,00071279104126,,Fresh Express,SALAD GREENS,packaged_upc_product_number,[],,,,fe garden mix,FRESH EXPRESS GARDEN SALAD MIX 00071279104126  FRESH EXPRESS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  FE GARDEN MIX,
FRESH EXPRESS SALSA ENSALADA SALAD KIT,00071279309514,,Fresh Express,SALAD KITS,packaged_upc_product_number,[],,,,fe salsa ensalada,FRESH EXPRESS SALSA ENSALADA SALAD KIT 00071279309514  FRESH EXPRESS SALAD KITS PACKAGED_UPC_PRODUCT_NUMBER  FE SALSA ENSALADA,
FRESH EXPRESS SUNFLOWER CRISP CHOPPED SALAD KIT,00071279309330,,Fresh Express,SALAD KITS,packaged_upc_product_number,[],,,,fe sunflower crisp chopped,FRESH EXPRESS SUNFLOWER CRISP CHOPPED SALAD KIT 00071279309330  FRESH EXPRESS SALAD KITS PACKAGED_UPC_PRODUCT_NUMBER  FE SUNFLOWER CRISP CHOPPED,
FRESH EXPRESS THAI N CASHEWS CHOPPED SALAD KIT,00071279309255,,Fresh Express,SALAD KITS,packaged_upc_product_number,[],,,,fe thai n cashews,FRESH EXPRESS THAI N CASHEWS CHOPPED SALAD KIT 00071279309255  FRESH EXPRESS SALAD KITS PACKAGED_UPC_PRODUCT_NUMBER  FE THAI N CASHEWS,
FUJI LG APPLE,4131,,,APPLES,produce_plu,[],,,,,FUJI LG APPLE 4131   APPLES PRODUCE_PLU  ,
FUJI SM APPLE,4129,,,APPLES,produce_plu,[],,,,,FUJI SM APPLE 4129   APPLES PRODUCE_PLU  ,
GAI CHOY,4607,,,GAI,produce_plu,[],,,,,GAI CHOY 4607   GAI PRODUCE_PLU  ,
GAI LAN,3160,,,GAI,produce_plu,[],,,,,GAI LAN 3160   GAI PRODUCE_PLU  ,
GAI LAN MUI,4852,,,GAI,produce_plu,[],,,,,GAI LAN MUI 4852   GAI PRODUCE_PLU  ,
GALA LG APPLE,4174,,,APPLES,produce_plu,[],,,,,GALA LG APPLE 4174   APPLES PRODUCE_PLU  ,
GALA SM APPLE,4173,,,APPLES,produce_plu,[],,,,,GALA SM APPLE 4173   APPLES PRODUCE_PLU  ,
GALIA MELON,4326,,,MELONS,produce_plu,[],,,,,GALIA MELON 4326   MELONS PRODUCE_PLU  ,
GARLIC BULK,4608,,,GARLICS,produce_plu,[],,,,,GARLIC BULK 4608   GARLICS PRODUCE_PLU  ,
GARLIC MESH 3 PACK IMPORTED,3187,,,GARLICS,produce_plu,[],,,,,GARLIC MESH 3 PACK IMPORTED 3187   GARLICS PRODUCE_PLU  ,
GINGER ROOT,4612,,,GINGERS,produce_plu,[],,,,,GINGER ROOT 4612   GINGERS PRODUCE_PLU  ,
GOLD DEL LG APPLE,3285,,,APPLES,produce_plu,[],,,,,GOLD DEL LG APPLE 3285   APPLES PRODUCE_PLU  ,
GOLDEN DEL SM APPLE,4021,,,APPLES,produce_plu,[],,,,,GOLDEN DEL SM APPLE 4021   APPLES PRODUCE_PLU  ,
GOODLEAF FARMS BABY GREENS COOL CRISP (226 g),00628308082490,226 g,Goodleaf Farms,SALAD GREENS,packaged_upc_product_number,[],,,,gl baby greens cool; gl baby greens cool,GOODLEAF FARMS BABY GREENS COOL CRISP (226 G) 00628308082490 226 G GOODLEAF FARMS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  GL BABY GREENS COOL; GL BABY GREENS COOL,
GOODLEAF FARMS COOL CRISP LETTUCE (113 g),00628308082476,113 g,Goodleaf Farms,SALAD GREENS,packaged_upc_product_number,[],,,,gl cool crisp lettuce; gl cool crisp lettuce,GOODLEAF FARMS COOL CRISP LETTUCE (113 G) 00628308082476 113 G GOODLEAF FARMS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  GL COOL CRISP LETTUCE; GL COOL CRISP LETTUCE,
GOODLEAF FARMS SPRING MIX (226 g),00628308083053,226 g,Goodleaf Farms,SALAD GREENS,packaged_upc_product_number,[],,,,gl spring mix 226; gl spring mix 226,GOODLEAF FARMS SPRING MIX (226 G) 00628308083053 226 G GOODLEAF FARMS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  GL SPRING MIX 226; GL SPRING MIX 226,
GOODLEAF FARMS SWEET & SPICY MIX,00628308083008,,Goodleaf Farms,SALAD GREENS,packaged_upc_product_number,[],,,,gl sweet spicy mix; gl sweet spicy mix,GOODLEAF FARMS SWEET & SPICY MIX 00628308083008  GOODLEAF FARMS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  GL SWEET SPICY MIX; GL SWEET SPICY MIX,
GOODLEAF FARMS TRUE NORTH BLEND,00628308083084,,Goodleaf Farms,SALAD GREENS,packaged_upc_product_number,[],,,,gl true north blend; gl true north blend,GOODLEAF FARMS TRUE NORTH BLEND 00628308083084  GOODLEAF FARMS SALAD GREENS PACKAGED_UPC_PRODUCT_NUMBER  GL TRUE NORTH BLEND; GL TRUE NORTH BLEND,
GOURDS,140,,,GOURDS,produce_plu,[],,,,,GOURDS 140   GOURDS PRODUCE_PLU  ,
GRANNY SMITH LG APPLE,4017,,,APPLES,produce_plu,[],,,,,GRANNY SMITH LG APPLE 4017   APPLES PRODUCE_PLU  ,
GRANNY SMITH SM APPLE,4139,,,APPLES,produce_plu,[],,,,,GRANNY SMITH SM APPLE 4139   APPLES PRODUCE_PLU  ,
GRAPEFRUIT RUBY LG,4281,,,GRAPES,produce_plu,[],,,,,GRAPEFRUIT RUBY LG 4281   GRAPES PRODUCE_PLU  ,
GRAPEFRUIT RUBY SM,4286,,,GRAPES,produce_plu,[],,,,,GRAPEFRUIT RUBY SM 4286   GRAPES PRODUCE_PLU  ,
GREEN BELL PEPPER,4065,,,PEPPERS,produce_plu,[],,,,,GREEN BELL PEPPER 4065   PEPPERS PRODUCE_PLU  ,
GREEN LEAF LETTUCE,4076,,,LETTUCES,produce_plu,[],,,,,GREEN LEAF LETTUCE 4076   LETTUCES PRODUCE_PLU  ,
GREEN LO BOK,269,,,GREEN,produce_plu,[],,,,,GREEN LO BOK 269   GREEN PRODUCE_PLU  ,
GREEN ONION,4068,,,ONIONS,produce_plu,[],,,,,GREEN ONION 4068   ONIONS PRODUCE_PLU  ,
GREEN ONIONS,4068,,,ONIONS,produce_plu,[],,,,,GREEN ONIONS 4068   ONIONS PRODUCE_PLU  ,
GREEN PLUM,4435,,,PLUMS,produce_plu,[],,,,,GREEN PLUM 4435   PLUMS PRODUCE_PLU  ,
GREEN SEEDLESS GRAPE,4022,,,GRAPES,produce_plu,[],,,,,GREEN SEEDLESS GRAPE 4022   GRAPES PRODUCE_PLU  ,
GREEN SERRANO PEPPER,4709,,,PEPPERS,produce_plu,[],,,,,GREEN SERRANO PEPPER 4709   PEPPERS PRODUCE_PLU  ,
GUAVA,4299,,,GUAVA,produce_plu,[],,,,,GUAVA 4299   GUAVA PRODUCE_PLU  ,
HABANERO PEPPER,3125,,,PEPPERS,produce_plu,[],,,,,HABANERO PEPPER 3125   PEPPERS PRODUCE_PLU  ,
HALF FLAT STRAWBERRIES,4252,,,HALF,produce_plu,[],,,,,HALF FLAT STRAWBERRIES 4252   HALF PRODUCE_PLU  ,
